index,Clothing.ID,Department.Name,Rating,Full_Review
0,1095,Dresses,4,"Size up if busty. I agree with the other reviewer that the color isn't as pink in person and more subtle. my thoughts below on some other things:
__________
pros:
- pockets! makes it so fun and chic with the overall style.
- the material is lovely and breathable. i didn't find it sheer at all! of course, i didn't wear it outside the dressing room. the material is thicker but it hangs on the body well.
- runs ""mostly"" tts. i only tried on the medium and it fit everywhere being slightly tighter in the chest. i"
1,903,Tops,4,Snap front hoodie. I have many sweaters but i bought this during the sale and it is very soft and comfortable.
2,830,Tops,4,Adorable. Beautiful top but runs a whole size small. gave to my daughter who loved!
3,1047,Bottoms,3,"Fraying after 2 wears!. I loved these pants.they are so comfortable. however, after just wearing them twice, the threads of the leaves are fraying, and leaving lint on whatever i sit on. the leaves at the seat of the pants are now slowly disappearing. this after wearing twice to work! i imagine after a few more wears that the leaves at the seat of the pants will be close to gone, or at least much less ""white"" with threads then the rest of the places. this is super unfortunate and will be returning. too bad, they were l"
4,1110,Dresses,5,"Fabulous material..... I ordered this dress in a petite but it arrived in a regular, the rest fit and in the meantime the petites ran out in my size.  the dress is too long but it is so beautiful i will get it shortened.  the fabric is lovely.  i am blonde and the green is so nice with my hair... which is a good thing since the other colour was totally sold out.  try not to miss out on this lovely purchase....."
5,820,Tops,5,"Run and buy...... Such a cute shirt! i picked up the white-with-flowers that is not being shown online yet. the straight white looks like it could wrinkle and definitely needs a tank underneath but the white with flowers was not see-through and seems like it will require a bit less steaming (the detail masks wrinkles :)) the flowered-design also has a small tie at the neck that i don't think was on the solid color design (can't totally remember) - cute extra detail but not overly obvious, it blends into the shirt"
6,1059,Bottoms,3,No Title. Had to send back for exchange. way too big. i'm very excited to get a smaller size because they are really beautifully made.
7,1092,Dresses,5,"Sbags easily. I liked this dress but wasn't sure about the color on me. i tried it on anyway. originally, i tried on the 0, but it seemed big so i ordered the 00. also usually i order petite, but this dress is already short (and i am not getting younger), so i went with regular size this time. color was not bad on my pale skin, i think the hue was ok (surprisingly). one thing that might bug the perfectionist in me, the zig zag isn't always aligned, the waist, for instance was crooked, but if it is like that e"
8,22,Tops,5,"Please bring this shirt back!!!. This is my favorite shirt ever. i've had it for years and it still looks great. please, please bring it back!!"
9,394,Intimate,5,No Title. 
